ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Action flag comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original Expanded index with include note
MFJ.LC.AA	Stabilisation of wrist joint							Stabilisation of distal radio-ulnar joint	reattachment or reconstruction of ligament				FALSE	FALSE									Stabilisation of wrist joint	
			reattachment or reconstruction of ligament	I	Stabilisation of wrist joint with reattachment or reconstruction of ligament								FALSE	FALSE										Stabilisation of wrist joint - reattachment or reconstruction of ligament
		Stabilisation of distal radio-ulnar joint		I									FALSE	FALSE										
			reattachment or reconstruction of ligament	I	Stabilisation of distal radio-ulnar joint with reattachment or reconstruction of ligament								FALSE	FALSE										Stabilisation of distal radio-ulnar joint - reattachment or reconstruction of ligament
MFJ.LC.AH	Application of external immobilisation device of wrist joint							Application of external fixator device, wrist joint	brace; cast			T?	FALSE	FALSE									Application of external immobilisation device, wrist joint	
			brace	I	Application of wrist brace								FALSE	FALSE										Application of external immobilisation device, wrist joint - brace
			cast	I	Application of wrist cast								FALSE	FALSE										Application of external immobilisation device, wrist joint - cast
		Application of external fixator device of wrist joint		I									FALSE	FALSE										
			brace	D	Application of external fixator device, wrist joint - brace								FALSE	FALSE										Application of external fixator device, wrist joint - brace
			cast	D	Application of external fixator device, wrist joint - cast								FALSE	FALSE										Application of external fixator device, wrist joint - cast
MFJ.LD.AA	Open reduction of wrist joint							Open reduction of dislocation of wrist joint; Open reduction of fracture of wrist joint	debridement				FALSE	FALSE									Open reduction of wrist joint	
			debridement	I	Open reduction of wrist joint with debridement								FALSE	FALSE										Open reduction of wrist joint with debridement
		Open reduction of dislocation of wrist joint		I									FALSE	FALSE										
			debridement	I	Open reduction of dislocation of wrist joint with debridement								FALSE	FALSE										Open reduction of dislocation of wrist joint with debridement
		Open reduction of fracture of wrist joint		I									FALSE	FALSE										
			debridement	I	Open reduction of fracture of wrist joint with debridement								FALSE	FALSE										Open reduction of fracture of wrist joint with debridement
MFJ.LE.AA	Carporadial fusion							Arthrodesis of wrist	bone graft; internal fixation; procurement of graft material through same incision				FALSE	FALSE									Carporadial fusion	
			bone graft	I	Carporadial fusion with bone graft								FALSE	FALSE										Carporadial fusion with bone graft
			internal fixation	I	Carporadial fusion with internal fixation								FALSE	FALSE										Carporadial fusion - internal fixation
			procurement of graft material through same incision	I	Carporadial fusion with procurement of graft material through same incision								FALSE	FALSE										Carporadial fusion with procurement of graft material through same incision
		Arthrodesis of wrist		I									FALSE	FALSE										
			bone graft	I	Arthrodesis of wrist with bone graft								FALSE	FALSE										Arthrodesis of wrist with bone graft
			internal fixation	I	Arthrodesis of wrist with internal fixation								FALSE	FALSE										Arthrodesis of wrist - internal fixation
			procurement of graft material through same incision	I	Arthrodesis of wrist with procurement of graft material through same incision								FALSE	FALSE										Arthrodesis of wrist with procurement of graft material through same incision
MFL.ML.AA	Reconstruction of ligament of wrist							Reconstruction of wrist; Total wrist replacement	with tendon graft				FALSE	FALSE									Reconstruction of ligament of wrist	
			with tendon graft	D	Reconstruction of ligament of wrist with tendon graft								FALSE	FALSE										Reconstruction of ligament of wrist with tendon graft
		Reconstruction of wrist		I									FALSE	FALSE										
			with tendon graft	I	Reconstruction of wrist with tendon graft								FALSE	FALSE										Reconstruction of wrist with tendon graft
		Total wrist replacement		I									FALSE	FALSE										
			with tendon graft	I	Total wrist replacement with tendon graft								FALSE	FALSE										Total wrist replacement with tendon graft
MFM.ML.AA	Reconstruction of muscle of forearm								myocutaneous flap				FALSE	FALSE									Reconstruction of muscle of forearm	
			myocutaneous flap	I	Reconstruction of muscle of forearm with myocutaneous flap								FALSE	FALSE										Reconstruction of muscle of forearm via myocutaneous flap
MGB.DN.AE	Percutaneous implantation of device into carpal or metacarpal							Percutaneous pinning (internal fixation) of metacarpal or phalanx	K-wire; Kirschner wire			T?	FALSE	FALSE									Percutaneous implantation of device into bone, carpals or metacarpals	
			K-wire	I	Percutaneous implantation of K-wire into carpal or metacarpal								FALSE	FALSE										Percutaneous implantation of device into bone, carpals or metacarpals - K-wire
			Kirschner wire	I	Percutaneous implantation of Kirschner wire into carpal or metacarpal 								FALSE	FALSE										Percutaneous implantation of device into bone, carpals or metacarpals - Kirschner wire
		Percutaneous pinning or internal fixation of metacarpal or phalanx		I									FALSE	FALSE										
			K-wire	D	Percutaneous pinning (internal fixation) of metacarpal or phalanx - K-wire								FALSE	FALSE										Percutaneous pinning (internal fixation) of metacarpal or phalanx - K-wire
			Kirschner wire	D	Percutaneous pinning (internal fixation) of metacarpal or phalanx - Kirschner wire								FALSE	FALSE										Percutaneous pinning (internal fixation) of metacarpal or phalanx - Kirschner wire
MGB.JD.AH	Removal of internal device or foreign body from carpal or metacarpal without incision							Removal of internal fixation device from carpals or metacarpals, without incision; Removal of external fixation device from carpals or metacarpals	K-wire; Kirschner wire			T?	FALSE	FALSE									Removal of foreign body from carpals or metacarpals, without incision	
			K-wire	D	Removal of foreign body from carpals or metacarpals, without incision - K-wire								FALSE	FALSE										Removal of foreign body from carpals or metacarpals, without incision - K-wire
			Kirschner wire	D	Removal of foreign body from carpals or metacarpals, without incision - Kirschner wire								FALSE	FALSE										Removal of foreign body from carpals or metacarpals, without incision - Kirschner wire
		Removal of internal fixation device from carpal or metacarpal without incision		I									FALSE	FALSE										
			K-wire	I	Removal of K-wire from carpals or metacarpals without incision 								FALSE	FALSE										Removal of internal fixation device from carpals or metacarpals, without incision - K-wire
			Kirschner wire	I	Removal of Kirschner wire from carpals or metacarpals without incision  								FALSE	FALSE										Removal of internal fixation device from carpals or metacarpals, without incision - Kirschner wire
		Removal of external fixation device from carpal or metacarpal		I									FALSE	FALSE										
			K-wire	D	Removal of external fixation device from carpals or metacarpals - K-wire								FALSE	FALSE										Removal of external fixation device from carpals or metacarpals - K-wire
			Kirschner wire	D	Removal of external fixation device from carpals or metacarpals - Kirschner wire								FALSE	FALSE										Removal of external fixation device from carpals or metacarpals - Kirschner wire
MGB.LC.AE	Percutaneous application of external immobilisation device to carpal or metacarpal							Application of external fixator device, carpals or metacarpals	K-wire; suzuki frame			T?	FALSE	FALSE									Percutaneous application of external immobilisation device, carpals or metacarpals	
			K-wire	I	Percutaneous application of K-wire to carpal or metacarpal 								FALSE	FALSE										Percutaneous application of external immobilisation device, carpals or metacarpals - K-wire
			suzuki frame	I	Percutaneous application of suzuki frame carpal or metacarpal								FALSE	FALSE										Percutaneous application of external immobilisation device, carpals or metacarpals - suzuki frame
		Percutaneous application of external fixator device of carpal or metacarpal		I									FALSE	FALSE										
			K-wire	D	Application of external fixator device, carpals or metacarpals - K-wire								FALSE	FALSE										Application of external fixator device, carpals or metacarpals - K-wire
			suzuki frame	D	Application of external fixator device, carpals or metacarpals - suzuki frame								FALSE	FALSE										Application of external fixator device, carpals or metacarpals - suzuki frame
MGB.LC.AH	Application of external immobilisation device to carpal or metacarpal							Application of external fixator device, carpals or metacarpals	brace; cast			T?	FALSE	FALSE									Application of external immobilisation device, carpals or metacarpals	
			brace	I	Application of carpal or metacarpal brace								FALSE	FALSE										Application of external immobilisation device, carpals or metacarpals - brace
			cast	I	Application of carpal or metacarpal cast								FALSE	FALSE										Application of external immobilisation device, carpals or metacarpals - cast
		Application of external fixator device to carpal or metacarpal		I									FALSE	FALSE										
			brace	D	Application of external fixator device, carpals or metacarpals - brace								FALSE	FALSE										Application of external fixator device, carpals or metacarpals - brace
			cast	D	Application of external fixator device, carpals or metacarpals - cast								FALSE	FALSE										Application of external fixator device, carpals or metacarpals - cast
MGB.LD.AA	Open reduction of carpal or metacarpal							Open reduction of dislocation, carpals or metacarpals; Open reduction of fracture, carpals or metacarpals	debridement			T?	FALSE	FALSE									Open reduction of carpals or metacarpals	
			debridement	I	Open reduction of carpal or metacarpal with debridement								FALSE	FALSE										Open reduction of carpals or metacarpals with debridement
		Open reduction of dislocation of carpal or metacarpal		I									FALSE	FALSE										
			debridement	I	Open reduction of dislocation of carpal or metacarpal with debridement								FALSE	FALSE										Open reduction of dislocation, carpals or metacarpals with debridement
		Open reduction of fracture of carpal or metacarpal		I									FALSE	FALSE										
			debridement	I	Open reduction of fracture of carpal or metacarpal with debridement								FALSE	FALSE										Open reduction of fracture, carpals or metacarpals with debridement
MGJ.DN.AA	Implantation of device into finger or hand joint							Arthroplasty of joint of hand or finger; Finger joint replacement; Internal fixation of bone, finger or hand joint	carpocarpal joint; carpometacarpal joint; interphalangeal joint; metacarpophalangeal joint				FALSE	FALSE									Implantation of device into finger or hand joint	
			carpocarpal joint	I	Implantation of device into carpocarpal joint	Repeated words: [joint]							FALSE	FALSE										Implantation of device into finger or hand joint - carpocarpal joint
			carpometacarpal joint	I	Implantation of device into carpometacarpal joint	Repeated words: [joint]							FALSE	FALSE										Implantation of device into finger or hand joint - carpometacarpal joint
			interphalangeal joint	I	Implantation of device into interphalangeal joint	Repeated words: [joint]							FALSE	FALSE										Implantation of device into finger or hand joint - interphalangeal joint
			metacarpophalangeal joint	I	Implantation of device into metacarpophalangeal joint	Repeated words: [joint]							FALSE	FALSE										Implantation of device into finger or hand joint - metacarpophalangeal joint
		Arthroplasty of joint of hand or finger		I									FALSE	FALSE										
			carpocarpal joint	I	Arthroplasty of carpocarpal joint	Repeated words: [joint]							FALSE	FALSE										Arthroplasty of joint of hand or finger - carpocarpal joint
			carpometacarpal joint	I	Arthroplasty of carpometacarpal joint	Repeated words: [joint]							FALSE	FALSE										Arthroplasty of joint of hand or finger - carpometacarpal joint
			interphalangeal joint	I	Arthroplasty of interphalangeal joint	Repeated words: [joint]							FALSE	FALSE										Arthroplasty of joint of hand or finger - interphalangeal joint
			metacarpophalangeal joint	I	Arthroplasty of metacarpophalangeal joint	Repeated words: [joint]							FALSE	FALSE										Arthroplasty of joint of hand or finger - metacarpophalangeal joint
		Finger joint replacement		I									FALSE	FALSE										
			carpocarpal joint	I	Carpocarpal joint replacement 	Repeated words: [joint]							FALSE	FALSE										Finger joint replacement - carpocarpal joint
			carpometacarpal joint	I	Carpometacarpal joint replacement 	Repeated words: [joint]							FALSE	FALSE										Finger joint replacement - carpometacarpal joint
			interphalangeal joint	I	Interphalangeal joint replacement 	Repeated words: [joint]							FALSE	FALSE										Finger joint replacement - interphalangeal joint
			metacarpophalangeal joint	I	Metacarpophalangeal joint replacement 	Repeated words: [joint]							FALSE	FALSE										Finger joint replacement - metacarpophalangeal joint
		Internal fixation of bone of finger or hand joint		I									FALSE	FALSE										
			carpocarpal joint	I	Internal fixation of carpocarpal joint	Repeated words: [joint]							FALSE	FALSE										Internal fixation of bone, finger or hand joint - carpocarpal joint
			carpometacarpal joint	I	Internal fixation of carpometacarpal joint	Repeated words: [joint]							FALSE	FALSE										Internal fixation of bone, finger or hand joint - carpometacarpal joint
			interphalangeal joint	I	Internal fixation of interphalangeal joint	Repeated words: [joint]							FALSE	FALSE										Internal fixation of bone, finger or hand joint - interphalangeal joint
			metacarpophalangeal joint	I	Internal fixation of metacarpophalangeal joint	Repeated words: [joint]							FALSE	FALSE										Internal fixation of bone, finger or hand joint - metacarpophalangeal joint
MGJ.LC.AE	Percutaneous application of external immobilisation device to finger or hand joint							Application of external fixator device, hand or finger joint; Application of PIP joint fixator device	K-wire			T?	FALSE	FALSE									Percutaneous application of external immobilisation device,finger or hand joint	
			K-wire	I	Percutaneous application of K-wire to finger or hand joint 								FALSE	FALSE										Percutaneous application of external immobilisation device,finger or hand joint - K-wire
		Percutaneous application of external fixator device to hand or finger joint		I									FALSE	FALSE										
			K-wire	D	Application of external fixator device, hand or finger joint - K-wire								FALSE	FALSE										Application of external fixator device, hand or finger joint - K-wire
		Application of PIP joint fixator device		I									FALSE	FALSE										
			K-wire	D	Application of PIP joint fixator device - K-wire								FALSE	FALSE										Application of PIP joint fixator device - K-wire
MGJ.LC.AH	Application of external immobilisation device to finger or hand joint							Application of external fixator device, hand or finger	brace; cast			T?	FALSE	FALSE									Application of external immobilisation device, finger or hand joint	
			brace	I	Application of brace to finger or hand joint 								FALSE	FALSE										Application of external immobilisation device, finger or hand joint - brace
			cast	I	Application of cast to finger or hand joint 								FALSE	FALSE										Application of external immobilisation device, finger or hand joint - cast
		Application of external fixator device to hand or finger		I									FALSE	FALSE										
			brace	D	Application of external fixator device, hand or finger - brace								FALSE	FALSE										Application of external fixator device, hand or finger - brace
			cast	D	Application of external fixator device, hand or finger - cast								FALSE	FALSE										Application of external fixator device, hand or finger - cast
MGJ.LD.AA	Open reduction of finger or hand joint							Open reduction of dislocation of finger or hand joint; Open reduction of fracture of finger or hand joint	debridement				FALSE	FALSE									Open reduction of finger or hand joint	
			debridement	I	Open reduction of finger or hand joint with debridement								FALSE	FALSE										Open reduction of finger or hand joint with debridement
		Open reduction of dislocation of finger or hand joint		I									FALSE	FALSE										
			debridement	I	Open reduction of dislocation of finger or hand joint with debridement								FALSE	FALSE										Open reduction of dislocation of finger or hand joint with debridement
		Open reduction of fracture of finger or hand joint		I									FALSE	FALSE										
			debridement	I	Open reduction of fracture of finger or hand joint with debridement								FALSE	FALSE										Open reduction of fracture of finger or hand joint with debridement
MGJ.PB.ZZ	Mobilisation of hand or finger joint								thumb joint				FALSE	FALSE									Mobilisation of hand or finger joint	
			thumb joint	I	Mobilisation of  thumb joint	Repeated words: [joint]							FALSE	FALSE										Mobilisation of hand or finger joint - thumb joint
MGL.ML.AA	Reconstruction of ligament and fascia of hand or finger							Neurovascular island flap to hand; Repair of ligament or capsule of hand	with graft or implant				FALSE	FALSE									Reconstruction of ligament and fascia of hand or finger	
			with graft or implant	I	Reconstruction of ligament and fascia of hand or finger with graft or implant								FALSE	FALSE										Reconstruction of ligament and fascia of hand or finger with graft or implant
		Neurovascular island flap to hand		I									FALSE	FALSE										
			with graft or implant	D	Neurovascular island flap to hand with graft or implant								FALSE	FALSE										Neurovascular island flap to hand with graft or implant
		Repair of ligament or capsule of hand		I									FALSE	FALSE										
			with graft or implant	I	Repair of ligament or capsule of hand with graft or implant								FALSE	FALSE										Repair of ligament or capsule of hand with graft or implant
MGT.ML.AA	Reconstruction of tendon of hand or finger							Myotenoplasty of hand; Reconstruction of Boutonniere deformity; Tendon pulley reconstruction; Tenoplasty of hand	by tendon graft				FALSE	FALSE									Reconstruction of tendon of hand or finger	
			by tendon graft	I	Reconstruction of tendon of hand or finger with tendon graft	Repeated words: [tendon]							FALSE	FALSE										Reconstruction of tendon of hand or finger by tendon graft
		Myotenoplasty of hand		I									FALSE	FALSE										
			by tendon graft	I	Myotenoplasty of hand with tendon graft								FALSE	FALSE										Myotenoplasty of hand by tendon graft
		Reconstruction of Boutonniere deformity		I									FALSE	FALSE										
			by tendon graft	I	Reconstruction of Boutonniere deformity with tendon graft								FALSE	FALSE										Reconstruction of Boutonniere deformity by tendon graft
		Tendon pulley reconstruction		I									FALSE	FALSE										
			by tendon graft	I	Tendon pulley reconstruction with tendon graft	Repeated words: [Tendon]							FALSE	FALSE										Tendon pulley reconstruction by tendon graft
		Tenoplasty of hand		I									FALSE	FALSE										
			by tendon graft	I	Tenoplasty of hand with tendon graft								FALSE	FALSE										Tenoplasty of hand by tendon graft
MIS.PC.ZZ	Massage of soft tissue of upper limb							Kneading; Percussion; Petrisage; Stroking	soft tissue			T?	FALSE	FALSE									Massage of upper limb	
			soft tissue	D	Massage of upper limb - soft tissue								FALSE	FALSE										Massage of upper limb - soft tissue
		Kneading of soft tissue of upper limb		I									FALSE	FALSE										
			soft tissue	D	Kneading - soft tissue								FALSE	FALSE										Kneading - soft tissue
		Percussion of soft tissue of upper limb		I									FALSE	FALSE										
			soft tissue	D	Percussion - soft tissue								FALSE	FALSE										Percussion - soft tissue
		Petrisage of soft tissue of upper limb		I									FALSE	FALSE										
			soft tissue	D	Petrisage - soft tissue								FALSE	FALSE										Petrisage - soft tissue
		Stroking of soft tissue of upper limb		I									FALSE	FALSE										
			soft tissue	D	Stroking - soft tissue								FALSE	FALSE										Stroking - soft tissue
MKB.LC.AE	Percutaneous application of external immobilisation device to pelvis							Application of external fixator device, pelvis	pelvic ring			T?	FALSE	FALSE									Percutaneous application of external immobilisation device, pelvis	
			pelvic ring	I	Percutaneous application of pelvic ring								FALSE	FALSE										Percutaneous application of external immobilisation device, pelvis - pelvic ring
		Percutaneous application of external fixator device to pelvis		I									FALSE	FALSE										
			pelvic ring	D	Application of external fixator device, pelvis - pelvic ring								FALSE	FALSE										Application of external fixator device, pelvis - pelvic ring
MKB.LC.AH	Application of external immobilisation device to pelvis							Application of external fixator device, pelvis	brace; cast			T?	FALSE	FALSE									Application of external immobilisation device, pelvis	
			brace	I	Application of pelvic brace								FALSE	FALSE										Application of external immobilisation device, pelvis - brace
			cast	I	Application of pelvic cast								FALSE	FALSE										Application of external immobilisation device, pelvis - cast
		Application of external fixator device to pelvis		I									FALSE	FALSE										
			brace	D	Application of external fixator device, pelvis - brace								FALSE	FALSE										Application of external fixator device, pelvis - brace
			cast	D	Application of external fixator device, pelvis - cast								FALSE	FALSE										Application of external fixator device, pelvis - cast
MKB.LD.AA	Open reduction of pelvis							Open reduction of dislocation, pelvis; Open reduction of fracture, pelvis	debridement				FALSE	FALSE									Open reduction of pelvis	
			debridement	I	Open reduction of pelvis with debridement								FALSE	FALSE										Open reduction of pelvis with debridement
		Open reduction of dislocation of pelvis		I									FALSE	FALSE										
			debridement	I	Open reduction of dislocation of pelvis with debridement								FALSE	FALSE										Open reduction of dislocation, pelvis with debridement
		Open reduction of fracture of pelvis		I									FALSE	FALSE										
			debridement	I	Open reduction of fracture of pelvis with debridement								FALSE	FALSE										Open reduction of fracture, pelvis with debridement
MKJ.BA.BA	X-ray of the joint of the pelvic region								lumbosacral joint; sacroiliac joint				FALSE	FALSE									X-ray of the joint of the pelvic region	
			lumbosacral joint	I	X-ray of the lumbosacral joint	Repeated words: [joint]							FALSE	FALSE										X-ray of the joint of the pelvic region - lumbosacral joint
			sacroiliac joint	I	X-ray of the sacroiliac joint	Repeated words: [joint]							FALSE	FALSE										X-ray of the joint of the pelvic region - sacroiliac joint
MKJ.LD.AA	Open reduction of joint of pelvic region							Open reduction of dislocation of joint of pelvic region; Open reduction of fracture of joint of pelvic region	debridement				FALSE	FALSE									Open reduction of joint of pelvic region	
			debridement	I	Open reduction of joint of pelvic region with debridement								FALSE	FALSE										Open reduction of joint of pelvic region with debridement
		Open reduction of dislocation of joint of pelvic region		I									FALSE	FALSE										
			debridement	I	Open reduction of dislocation of joint of pelvic region with debridement								FALSE	FALSE										Open reduction of dislocation of joint of pelvic region with debridement
		Open reduction of fracture of joint of pelvic region		I									FALSE	FALSE										
			debridement	I	Open reduction of fracture of joint of pelvic region with debridement								FALSE	FALSE										Open reduction of fracture of joint of pelvic region with debridement
MLB.DN.AE	Percutaneous implantation of device into bone of femur							Percutaneous pinning (internal fixation) of femur	K-wire; Kirschner wire			T?	FALSE	FALSE									Percutaneous implantation of device into bone, femur	
			K-wire	I	Percutaneous implantation of K-wire into femur 								FALSE	FALSE										Percutaneous implantation of device into bone, femur - K-wire
			Kirschner wire	I	Percutaneous implantation of Kirschner wire into femur 								FALSE	FALSE										Percutaneous implantation of device into bone, femur - Kirschner wire
		Percutaneous pinning or internal fixation of femur		I									FALSE	FALSE										
			K-wire	D	Percutaneous pinning (internal fixation) of femur - K-wire								FALSE	FALSE										Percutaneous pinning (internal fixation) of femur - K-wire
			Kirschner wire	D	Percutaneous pinning (internal fixation) of femur - Kirschner wire								FALSE	FALSE										Percutaneous pinning (internal fixation) of femur - Kirschner wire
MLB.LC.AE	Percutaneous application of external immobilisation device to femur							Application of external fixator device, femur	Ilizarov type; Sheffield ring fixator			T?	FALSE	FALSE									Percutaneous application of external immobilisation device, femur	
			Ilizarov type	I	Percutaneous application of Ilizarov type fixator to femur								FALSE	FALSE										Percutaneous application of external immobilisation device, femur - Ilizarov type
			Sheffield ring fixator	I	Percutaneous application of Sheffield ring fixator to femur 								FALSE	FALSE										Percutaneous application of external immobilisation device, femur - Sheffield ring fixator
		Percutaneous application of external fixator device to femur		I									FALSE	FALSE										
			Ilizarov type	D	Application of external fixator device, femur - Ilizarov type								FALSE	FALSE										Application of external fixator device, femur - Ilizarov type
			Sheffield ring fixator	D	Application of external fixator device, femur - Sheffield ring fixator	Repeated words: [fixator]							FALSE	FALSE										Application of external fixator device, femur - Sheffield ring fixator
MLB.LC.AH	Application of external immobilisation device to femur							Application of external fixator device, femur	brace; cast			T?	FALSE	FALSE									Application of external immobilisation device, femur	
			brace	I	Application of femoral brace								FALSE	FALSE										Application of external immobilisation device, femur - brace
			cast	I	Application of femoral cast								FALSE	FALSE										Application of external immobilisation device, femur - cast
		Application of external fixator device to  femur		I									FALSE	FALSE										
			brace	D	Application of external fixator device, femur - brace								FALSE	FALSE										Application of external fixator device, femur - brace
			cast	D	Application of external fixator device, femur - cast								FALSE	FALSE										Application of external fixator device, femur - cast
MLB.LD.AA	Open reduction of femur							Open reduction of dislocation, femur; Open reduction of fracture, femur; Open reduction of separated epiphysis, femur; Open reduction of slipped capital epiphysis	debridement				FALSE	FALSE									Open reduction of femur	
			debridement	I	Open reduction of femur with debridement								FALSE	FALSE										Open reduction of femur with debridement
		Open reduction of dislocation of femur		I									FALSE	FALSE										
			debridement	I	Open reduction of dislocation of femur with debridement								FALSE	FALSE										Open reduction of dislocation, femur with debridement
		Open reduction of fracture of femur		I									FALSE	FALSE										
			debridement	I	Open reduction of fracture of femur with debridement								FALSE	FALSE										Open reduction of fracture, femur with debridement
		Open reduction of separated epiphysis of femur		I									FALSE	FALSE										
			debridement	I	Open reduction of separated epiphysis of femur with debridement								FALSE	FALSE										Open reduction of separated epiphysis, femur with debridement
		Open reduction of slipped capital epiphysis of femur		I									FALSE	FALSE										
			debridement	I	Open reduction of slipped capital epiphysis of femur with debridement								FALSE	FALSE										Open reduction of slipped capital epiphysis with debridement
MLJ.DN.AA	Implantation of device into hip joint							Bipolar endoprosthesis hemiarthroplasty of hip; Hip joint replacement, acetabular component; Hip joint replacement, acetabular liner and/or femoral head only; Hip joint replacement, both acetabular and femoral part; Hip joint replacement, femoral component; Hip joint resurfacing arthroplasty, partial, acetabulum; Hip joint resurfacing arthroplasty, partial, femoral head; Partial hip replacement, acetabular component only; Partial hip replacement, acetabular component with exchange of acetabular cup and liner; Partial, acetabular component with exchange of femoral head; Partial hip replacement; Partial hip replacement, femoral component only; Partial hip replacement, femoral component with exchange of acetabular liner; Partial hip replacement, femoral component with exchange of femoral stem and head; Replacement of both femoral head and acetabulum by prosthesis; Resurfacing of hip joint, partial, acetabulum; Resurfacing of hip joint, partial, femoral head; Hip joint resurfacing arthroplasty NOS; Resurfacing of hip joint, total, acetabulum and femoral head; Revision of hip joint replacement, NOS; Revision of hip joint replacement, not specified as to components replaced; Secondary hip replacement; Total hip joint replacement; Total reconstruction of hip joint	bone graft; that performed as a revision				FALSE	FALSE									Implantation of device into hip joint	
			bone graft	I	Implantation of device into hip joint with bone graft								FALSE	FALSE										Implantation of device into hip joint with bone graft
			that performed as a revision	D	Implantation of device into hip joint performed as a revision								FALSE	FALSE										Implantation of device into hip joint performed as a revision
		Bipolar endoprosthesis hemiarthroplasty of hip		I									FALSE	FALSE										
			bone graft	I	Bipolar endoprosthesis hemiarthroplasty of hip with bone graft								FALSE	FALSE										Bipolar endoprosthesis hemiarthroplasty of hip with bone graft
			that performed as a revision	D	Bipolar endoprosthesis hemiarthroplasty of hip performed as a revision								FALSE	FALSE										Bipolar endoprosthesis hemiarthroplasty of hip performed as a revision
		Hip joint replacement, acetabular component		I									FALSE	FALSE										
			bone graft	I	Hip joint replacement, acetabular component with bone graft								FALSE	FALSE										Hip joint replacement, acetabular component with bone graft
			that performed as a revision	D	Hip joint replacement, acetabular component performed as a revision								FALSE	FALSE										Hip joint replacement, acetabular component performed as a revision
		Hip joint replacement, acetabular liner and/or femoral head only		D									TRUE	FALSE										
			bone graft	D	Hip joint replacement, acetabular liner and/or femoral head only with bone graft								TRUE	FALSE										Hip joint replacement, acetabular liner and/or femoral head only with bone graft
			that performed as a revision	D	Hip joint replacement, acetabular liner and/or femoral head only performed as a revision								TRUE	FALSE										Hip joint replacement, acetabular liner and/or femoral head only performed as a revision
		Hip joint replacement, both acetabular and femoral part		I									FALSE	FALSE										
			bone graft	I	Hip joint replacement, both acetabular and femoral part with bone graft								FALSE	FALSE										Hip joint replacement, both acetabular and femoral part with bone graft
			that performed as a revision	D	Hip joint replacement, both acetabular and femoral part performed as a revision								FALSE	FALSE										Hip joint replacement, both acetabular and femoral part performed as a revision
		Hip joint replacement, femoral component		I									FALSE	FALSE										
			bone graft	I	Hip joint replacement, femoral component with bone graft								FALSE	FALSE										Hip joint replacement, femoral component with bone graft
			that performed as a revision	D	Hip joint replacement, femoral component performed as a revision								FALSE	FALSE										Hip joint replacement, femoral component performed as a revision
		Hip joint resurfacing arthroplasty, acetabulum		I									FALSE	FALSE										
			bone graft	I	Hip joint resurfacing arthroplasty, acetabulum with bone graft								FALSE	FALSE										Hip joint resurfacing arthroplasty, partial, acetabulum with bone graft
			that performed as a revision	D	Hip joint resurfacing arthroplasty, partial, acetabulum performed as a revision								FALSE	FALSE										Hip joint resurfacing arthroplasty, partial, acetabulum performed as a revision
		Hip joint resurfacing arthroplasty, femoral head		I									FALSE	FALSE										
			bone graft	I	Hip joint resurfacing arthroplasty, femoral head with bone graft								FALSE	FALSE										Hip joint resurfacing arthroplasty, partial, femoral head with bone graft
			that performed as a revision	D	Hip joint resurfacing arthroplasty, partial, femoral head performed as a revision								FALSE	FALSE										Hip joint resurfacing arthroplasty, partial, femoral head performed as a revision
		Partial hip replacement, acetabular component only		D									TRUE	FALSE										
			bone graft	D	Partial hip replacement, acetabular component only with bone graft								TRUE	FALSE										Partial hip replacement, acetabular component only with bone graft
			that performed as a revision	D	Partial hip replacement, acetabular component only performed as a revision								TRUE	FALSE										Partial hip replacement, acetabular component only performed as a revision
		Partial hip replacement, acetabular component with exchange of acetabular cup and liner		D									TRUE	FALSE										
			bone graft	D	Partial hip replacement, acetabular component with exchange of acetabular cup and liner via bone graft	Repeated words: [acetabular]							TRUE	FALSE										Partial hip replacement, acetabular component with exchange of acetabular cup and liner via bone graft
			that performed as a revision	D	Partial hip replacement, acetabular component with exchange of acetabular cup and liner performed as a revision	Repeated words: [acetabular]							TRUE	FALSE										Partial hip replacement, acetabular component with exchange of acetabular cup and liner performed as a revision
		Partial, acetabular component with exchange of femoral head		D									TRUE	FALSE										
			bone graft	D	Partial, acetabular component with exchange of femoral head via bone graft								TRUE	FALSE										Partial, acetabular component with exchange of femoral head via bone graft
			that performed as a revision	D	Partial, acetabular component with exchange of femoral head performed as a revision								TRUE	FALSE										Partial, acetabular component with exchange of femoral head performed as a revision
		Hip replacement		I									FALSE	FALSE										
			bone graft	I	Hip replacement with bone graft								FALSE	FALSE										Partial hip replacement with bone graft
			that performed as a revision	D	Partial hip replacement performed as a revision								FALSE	FALSE										Partial hip replacement performed as a revision
		Partial hip replacement, femoral component only		D									TRUE	FALSE										
			bone graft	D	Partial hip replacement, femoral component only with bone graft								TRUE	FALSE										Partial hip replacement, femoral component only with bone graft
			that performed as a revision	D	Partial hip replacement, femoral component only performed as a revision								TRUE	FALSE										Partial hip replacement, femoral component only performed as a revision
		Partial hip replacement, femoral component with exchange of acetabular liner		D									TRUE	FALSE										
			bone graft	D	Partial hip replacement, femoral component with exchange of acetabular liner via bone graft								TRUE	FALSE										Partial hip replacement, femoral component with exchange of acetabular liner via bone graft
			that performed as a revision	D	Partial hip replacement, femoral component with exchange of acetabular liner performed as a revision								TRUE	FALSE										Partial hip replacement, femoral component with exchange of acetabular liner performed as a revision
		Partial hip replacement, femoral component with exchange of femoral stem and head		D									TRUE	FALSE										
